090 | 00000001400100DD | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: 15FE30-> FFFFFFBB                            | 00000001400114DB: FFFFFFFBFFFFFFBB-> FFFFFFFBFFFF |
091 | 00000001400100E0 | 49:83C2 04               | add r10,4                               | r10: 1400114DB-> 1400114DF                        |                                                   |
092 | 00000001400100E4 | 44:29C9                  | sub ecx,r9d                             | rcx: FFFFFFBB-> 789C981B rflags: 202-> 206        |                                                   |
093 | 00000001400100E7 | 44:31C9                  | xor ecx,r9d                             | rcx: 789C981B-> FFFFFFBB rflags: 206-> 286        |                                                   |
094 | 00000001400100EA | F7D1                     | not ecx                                 | rcx: FFFFFFBB-> 44                                |                                                   |
095 | 00000001400100EC | 41:01C9                  | add r9d,ecx                             | r9: 876367A0-> 876367E4                           |                                                   |
096 | 00000001400100EF | FF24CB                   | jmp qword ptr ds:[rbx+rcx*8]            |                                                   | 0000000140010ECF: 1400103D9-> 1400103D9           |
097 | 00000001400103D9 | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: 44-> FFFFFFFB                                | 00000001400114DF: E7FFFFFFFB-> E7FFFFFFFB         |
098 | 00000001400103DC | 49:83C2 04               | add r10,4                               | r10: 1400114DF-> 1400114E3 rflags: 286-> 212      |                                                   |
099 | 00000001400103E0 | 44:29C9                  | sub ecx,r9d                             | rcx: FFFFFFFB-> 789C9817 rflags: 212-> 206        |                                                   |
09A | 00000001400103E3 | 44:31C9                  | xor ecx,r9d                             | rcx: 789C9817-> FFFFFFF3 rflags: 206-> 286        |                                                   |
09B | 00000001400103E6 | F7D1                     | not ecx                                 | rcx: FFFFFFF3-> C                                 |                                                   |
09C | 00000001400103E8 | 41:01C9                  | add r9d,ecx                             | r9: 876367E4-> 876367F0 rflags: 286-> 296         |                                                   |
09D | 00000001400103EB | 4D:8B1F                  | mov r11,qword ptr ds:[r15]              | r11: 206-> 15FE30                                 | 000000000015FC80: 15FE30-> 15FE30                 | r11:"愾S"
09E | 00000001400103EE | 49:83C7 08               | add r15,8                               | r15: 15FC80-> 15FC88 rflags: 296-> 206            |                                                   |
09F | 00000001400103F2 | 83F9 10                  | cmp ecx,10                              | rflags: 206-> 287                                 |                                                   |
0A0 | 00000001400103F5 | 75 17                    | jne consoleapplication1_protected - 副本. |                                                   |                                                   |
0A1 | 000000014001040E | C1E1 03                  | shl ecx,3                               | rcx: C-> 60 rflags: 287-> 206                     |                                                   |
0A2 | 0000000140010411 | 41:53                    | push r11                                | rsp: 15DD10-> 15DD08                              | 000000000015DD08: 0-> 15FE30                      | r11:"愾S"
0A3 | 0000000140010413 | 49:BB 270C014001000000   | mov r11,consoleapplication1_protected - | r11: 15FE30-> 140010C27                           |                                                   | r11:"愾S"
0A4 | 000000014001041D | 49:01CB                  | add r11,rcx                             | r11: 140010C27-> 140010C87                        |                                                   | r11:"愾S"
0A5 | 0000000140010420 | 59                       | pop rcx                                 | rcx: 60-> 15FE30 rsp: 15DD08-> 15DD10             | 000000000015DD08: 15FE30-> 15FE30                 |
0A6 | 0000000140010421 | 49:890B                  | mov qword ptr ds:[r11],rcx              |                                                   | 0000000140010C87: 10000-> 15FE30                  | r11:"愾S"
0A7 | 0000000140010424 | 41:8B0A                  | mov ecx,dword ptr ds:[r10]              | rcx: 15FE30-> E7                                  | 00000001400114E3: BFFF7E87000000E7-> BFFF7E870000 |
0A8 | 0000000140010427 | 49:83C2 04               | add r10,4                               | r10: 1400114E3-> 1400114E7                        |                                                   |
0A9 | 000000014001042B | 44:29C9                  | sub ecx,r9d                             | rcx: E7-> 789C98F7 rflags: 206-> 203              |                                                   |
